Year,Province,District Name,Election,Party Number,Party Name,NOMOR.URUT,Candidate Name,"Candidate Gender L=Male, P=Female",District Number,Party,Candidate name,Candidate list position
2019,ACEH,ACEH I,DPR,9,Perindo,4,"EFFRI DANDA, S.E",L,,,,
2019,ACEH,ACEH I,DPR,9,Perindo,5,"MONICA OVIANANDA, A.MD.",P,,,,
2019,ACEH,ACEH I,DPR,9,Perindo,6,SAMSIR ALI,L,,,,
2019,ACEH,ACEH I,DPR,9,Perindo,7,CITRA LEVIONITA ANDREAN,P,,,,
2019,ACEH,ACEH I,DPR,10,PPP,1,AMRI M ALI,L,,,,
2019,ACEH,ACEH I,DPR,10,PPP,2,"T ZULFIKAR THAIB ALY, SH",L,,,,
2019,ACEH,ACEH I,DPR,10,PPP,3,"HJ. ILLIZA SA'ADUDDIN DJAMAL, SE",P,,,,
2019,ACEH,ACEH I,DPR,10,PPP,4,"ROSNI IDHAM, SE",P,,,,
2019,ACEH,ACEH I,DPR,10,PPP,5,IBNU AQIL,L,,,,
2019,ACEH,ACEH I,DPR,10,PPP,6,H. RUSYDI AW,L,,,,
2019,ACEH,ACEH I,DPR,10,PPP,7,ONIE SEPTARINA R,P,,,,
2019,ACEH,ACEH I,DPR,11,PSI,1,"DRS. H ANHARUDDIN, SE, MM",L,,,,
2019,ACEH,ACEH I,DPR,11,PSI,2,YAZIR AKRAMULLAH,L,,,,
2019,ACEH,ACEH I,DPR,11,PSI,3,NURTI SARIANI,P,,,,
2019,ACEH,ACEH I,DPR,11,PSI,4,HERLINA,P,,,,
2019,ACEH,ACEH I,DPR,11,PSI,5,NUR MAILIS,P,,,,
2019,ACEH,ACEH I,DPR,11,PSI,6,AHMAD NABIL,L,,,,
2019,ACEH,ACEH I,DPR,11,PSI,7,SAFRAN,L,,,,
2019,ACEH,ACEH I,DPR,12,PAN,1,"H. MUSLIM AYUB, S.H., M.M.",L,,,,
2019,ACEH,ACEH I,DPR,12,PAN,2,"MOHD ALFATAH, S.Ag",L,,,,
2019,ACEH,ACEH I,DPR,12,PAN,3,"ZAKIYAH DRAZAT, S. Tr. Keb",P,,,,
2019,ACEH,ACEH I,DPR,12,PAN,4,H. NAZARUDDIN DEK GAM,L,,,,
2019,ACEH,ACEH I,DPR,12,PAN,5,"LELI HERAWATI, A.Md",P,,,,
2019,ACEH,ACEH I,DPR,12,PAN,6,"MARGONINGSIH, SE",P,,,,
2019,ACEH,ACEH I,DPR,12,PAN,7,SULAIMAN ALI,L,,,,
2019,ACEH,ACEH I,DPR,13,Hanura,1,"IBNU RUSDI, S.E",L,,,,
2019,ACEH,ACEH I,DPR,13,Hanura,2,ROHAYA,P,,,,
2019,ACEH,ACEH I,DPR,13,Hanura,3,ZULKARNAINI,L,,,,
2019,ACEH,ACEH I,DPR,13,Hanura,4,ROSNANI DJAKFAR,P,,,,
2019,ACEH,ACEH I,DPR,13,Hanura,5,AGUSNIN ARIF,L,,,,
2019,ACEH,ACEH I,DPR,13,Hanura,6,AZIZAH,P,,,,
2019,ACEH,ACEH I,DPR,14,Demokrat,1,H. TEUKU RIEFKY HARSYA,L,,,,
2019,ACEH,ACEH I,DPR,14,Demokrat,2,"M. TANWIER MAHDI, S.Ag.MM",L,,,,
2019,ACEH,ACEH I,DPR,14,Demokrat,3,"ZAIYANA PUTRI, S.Pd.M.Pd",P,,,,
2019,ACEH,ACEH I,DPR,14,Demokrat,4,M. ALI YAKOB,L,,,,
2019,ACEH,ACEH I,DPR,14,Demokrat,5,"T. ISKANDAR DAOD, SE, M.Si.Ak.",L,,,,
2019,ACEH,ACEH I,DPR,14,Demokrat,6,"IDARYANI, SE.M.Si",P,,,,
2019,ACEH,ACEH I,DPR,14,Demokrat,7,"RAHMIATI, SE.Ak",P,,,,
2019,ACEH,ACEH I,DPR,19,PBB,1,Dr. (H.C.) Tgk. MUHAMMAD YUS,L,,,,
2019,ACEH,ACEH I,DPR,19,PBB,2,SUMARDI,L,,,,
2019,ACEH,ACEH I,DPR,19,PBB,3,"SALAWATI DAHLAN MS, SE",P,,,,
2019,ACEH,ACEH I,DPR,19,PBB,4,DRS. H.MISWAR SULAIMAN,L,,,,
2019,ACEH,ACEH I,DPR,19,PBB,5,"Drs. H.SJECH AHMADIN, MM",L,,,,
2019,ACEH,ACEH I,DPR,19,PBB,6,"MARDIANA, S.Sos.I",P,,,,
2019,ACEH,ACEH I,DPR,19,PBB,7,DHAHRATUL AINI,P,,,,
2019,ACEH,ACEH I,DPR,20,PKPI,1,"ARIZAN, S.H.",L,,,,
2019,ACEH,ACEH I,DPR,20,PKPI,2,HAMIDIN MUHAMMAD,L,,,,
2019,ACEH,ACEH I,DPR,20,PKPI,3,AFILIA TRI HANJANI,P,,,,
2019,ACEH,ACEH I,DPR,20,PKPI,4,"PASMAH PUTRA ANDRY AGUNG, M.M.",L,,,,
2019,ACEH,ACEH I,DPR,20,PKPI,5,ERMANITA,P,,,,
2019,ACEH,ACEH II,DPR,1,PKB,1,"MAHFUZD, SE",L,,,,
2019,ACEH,ACEH II,DPR,1,PKB,2,"SAYUTI, SH.MH",L,,,,
2019,ACEH,ACEH II,DPR,1,PKB,3,SRI ARIANA NINGSIH,P,,,,
2019,ACEH,ACEH II,DPR,1,PKB,4,RUSLAN M. DAUD,L,,,,
2019,ACEH,ACEH II,DPR,1,PKB,5,RAHMI ABDI,P,,,,
2019,ACEH,ACEH II,DPR,1,PKB,6,"FAISAL RIDHA, S.Ag., MM",L,,,,
2019,ACEH,ACEH II,DPR,2,Gerindra,1,"Ir. H. T. A. KHALID, M.M",L,,,,
2019,ACEH,ACEH II,DPR,2,Gerindra,2,CUT PUTEH,P,,,,
2019,ACEH,ACEH II,DPR,2,Gerindra,3,"T. ZAINAL ABIDIN, S.Pd.I",L,,,,
2019,ACEH,ACEH II,DPR,2,Gerindra,4,"FERRY MUNANDAR, ST",L,,,,
2019,ACEH,ACEH II,DPR,2,Gerindra,5,"Ir. H. NASARUDDIN, MM",L,,,,
2019,ACEH,ACEH II,DPR,2,Gerindra,6,"SITI NURMASYITHAH, S.Sos",P,,,,
2019,ACEH,ACEH II,DPR,3,PDIP,1,Ir. H. TAGORE ABU BAKAR,L,,,,
2019,ACEH,ACEH II,DPR,3,PDIP,2,"HJ. MARIA KARSIA, S.S.",P,,,,
2019,ACEH,ACEH II,DPR,3,PDIP,3,"GUNTARAYADI, S.P.",L,,,,
2019,ACEH,ACEH II,DPR,3,PDIP,4,HUSAINI MH,L,,,,
2019,ACEH,ACEH II,DPR,3,PDIP,5,MUHAMMAD SUFI,L,,,,
2019,ACEH,ACEH II,DPR,3,PDIP,6,"LISNAWATI GINTING, S.H., M.H.",P,,,,
2019,ACEH,ACEH II,DPR,4,Golkar,1,ILHAM PANGESTU,L,,,,
2019,ACEH,ACEH II,DPR,4,Golkar,2,DRS. H. MARZUKI DAUD,L,,,,
2019,ACEH,ACEH II,DPR,4,Golkar,3,"CUT RIZKA SEPTIANI, M.Si",P,,,,
2019,ACEH,ACEH II,DPR,4,Golkar,4,"FIRMANDEZ, S.E., Ak.",L,,,,
2019,ACEH,ACEH II,DPR,4,Golkar,5,"REDUK NILAWARNI, S.Pd",P,,,,
2019,ACEH,ACEH II,DPR,4,Golkar,6,T. YUSNI,L,,,,
2019,ACEH,ACEH II,DPR,5,NasDem,1,ZULFAN LINDAN,L,,,,
2019,ACEH,ACEH II,DPR,5,NasDem,2,MUHARUDDIN,L,,,,
2019,ACEH,ACEH II,DPR,5,NasDem,3,FATIMAH ZUHRA,P,,,,
2019,ACEH,ACEH II,DPR,5,NasDem,4,EFENDI,L,,,,
2019,ACEH,ACEH II,DPR,5,NasDem,5,"DR. IBRAHIM HASYIM SE, MM",L,,,,
2019,ACEH,ACEH II,DPR,5,NasDem,6,RIMA MELATI,P,,,,
2019,ACEH,ACEH II,DPR,6,Garuda,1,"AGUSTIAWAN NUR, SE",L,,,,
2019,ACEH,ACEH II,DPR,6,Garuda,2,TGK. MUNTAHA,L,,,,
2019,ACEH,ACEH II,DPR,6,Garuda,3,"WARDANI MARLINA, SE",P,,,,
2019,ACEH,ACEH II,DPR,7,Berkarya,1,Drs. TEUKU BUSTAMI UMAR,L,,,,
2019,ACEH,ACEH II,DPR,7,Berkarya,2,"Drs. T.A. RAHMAN ALBA, MM",L,,,,
2019,ACEH,ACEH II,DPR,7,Berkarya,3,SELVI OKTARICA,P,,,,
2019,ACEH,ACEH II,DPR,7,Berkarya,4,"H. NASRUL FUAD, SE, AK",L,,,,
2019,ACEH,ACEH II,DPR,7,Berkarya,5,SUNDARI,P,,,,
2019,ACEH,ACEH II,DPR,7,Berkarya,6,HAMDANI IDRIS,L,,,,
2019,ACEH,ACEH II,DPR,8,PKS,1,"H. MUHAMMAD NASIR DJAMIL, S. AG., M. Si",L,,,,
2019,ACEH,ACEH II,DPR,8,PKS,2,"TGK. H. MUHAMMAD NUR, M. Si",L,,,,
2019,ACEH,ACEH II,DPR,8,PKS,3,"Dr. SUESILOWATY, SE., M.MPar",P,,,,
2019,ACEH,ACEH II,DPR,8,PKS,4,BARMANSYAH,L,,,,
2019,ACEH,ACEH II,DPR,8,PKS,5,"M. YUSUF ISMAIL PASE, SH, MH",L,,,,
2019,ACEH,ACEH II,DPR,8,PKS,6,"SARI DEWI, SE.Ak",P,,,,
2019,ACEH,ACEH II,DPR,9,Perindo,1,GIVIANNA ELY,P,,,,
2019,ACEH,ACEH II,DPR,9,Perindo,2,HERMAN KOSASIH,L,,,,
2019,ACEH,ACEH II,DPR,9,Perindo,3,"HERMAN BAHARI, S.H",L,,,,
2019,ACEH,ACEH II,DPR,9,Perindo,4,"RAZALI ZAINUDDIN, A.Md.",L,,,,
2019,ACEH,ACEH II,DPR,9,Perindo,5,NURHAYATI,P,,,,
2019,ACEH,ACEH II,DPR,9,Perindo,6,SIWI ASRI MOPRIRATNA,P,,,,
2019,ACEH,ACEH II,DPR,10,PPP,1,"H ANWAR IDRIS, DRS",L,,,,
2019,ACEH,ACEH II,DPR,10,PPP,2,AKMAL HANIF,L,,,,
2019,ACEH,ACEH II,DPR,10,PPP,3,NURHANITA ZAHARA,P,,,,
2019,ACEH,ACEH II,DPR,10,PPP,4,Ir. SYUKUR KOBATH,L,,,,
2019,ACEH,ACEH II,DPR,10,PPP,5,"JAMALUDIN, SE",L,,,,
2019,ACEH,ACEH II,DPR,10,PPP,6,CUT FATNIAH,P,,,,
2019,ACEH,ACEH II,DPR,11,PSI,1,"KAMARUDDIN, SH",L,,,,
2019,ACEH,ACEH II,DPR,11,PSI,2,"RAMADLAN, ST, MT",L,,,,
2019,ACEH,ACEH II,DPR,11,PSI,3,IKA LESTARI,P,,,,
2019,ACEH,ACEH II,DPR,11,PSI,4,CUT ERNITA,P,,,,
2019,ACEH,ACEH II,DPR,11,PSI,5,ZAMZAMI,L,,,,
2019,ACEH,ACEH II,DPR,11,PSI,6,M HUSNI,L,,,,
2019,ACEH,ACEH II,DPR,12,PAN,1,TEUKU HASBULLAH. HD,L,,,,
2019,ACEH,ACEH II,DPR,12,PAN,2,"Dr. AHMAD FARHAN HAMID, MS",L,,,,
2019,ACEH,ACEH II,DPR,12,PAN,3,ANJAR AULIA,P,,,,
2019,ACEH,ACEH II,DPR,12,PAN,4,"ERMIADI ABDUL RAHMAN, ST",L,,,,
2019,ACEH,ACEH II,DPR,12,PAN,5,"ROSNAWATI, S.Pd.I",P,,,,
2019,ACEH,ACEH II,DPR,12,PAN,6,"H. BASRUN YUSUF, SH",L,,,,
2019,ACEH,ACEH II,DPR,13,Hanura,1,MIRWAN AMIR,L,,,,
2019,ACEH,ACEH II,DPR,13,Hanura,2,SARA NAIDU,P,,,,
2019,ACEH,ACEH II,DPR,13,Hanura,3,TATA MOEDA TAQWA,L,,,,
2019,ACEH,ACEH II,DPR,13,Hanura,4,ALAMSYAH,L,,,,
2019,ACEH,ACEH II,DPR,13,Hanura,5,MAULIZA WULANDARI,P,,,,
2019,ACEH,ACEH II,DPR,13,Hanura,6,SANDY PANGESTU,L,,,,
2019,ACEH,ACEH II,DPR,14,Demokrat,1,"MUSLIM, SHI.MM",L,,,,
2019,ACEH,ACEH II,DPR,14,Demokrat,2,MIRNAWATI,P,,,,
2019,ACEH,ACEH II,DPR,14,Demokrat,3,"HAMDAN SATI, ST",L,,,,
2019,ACEH,ACEH II,DPR,14,Demokrat,4,JAMALUDDIN T MUKU,L,,,,
2019,ACEH,ACEH II,DPR,14,Demokrat,5,KAUTSAR MUHAMMAD YUS,L,,,,
2019,ACEH,ACEH II,DPR,14,Demokrat,6,PINUS YANI,P,,,,
2019,ACEH,ACEH II,DPR,19,PBB,1,"AZHARI CAGE, S.IP",L,,,,
2019,ACEH,ACEH II,DPR,19,PBB,2,"MAWARDI ABDULLAH, M.M.",L,,,,
2019,ACEH,ACEH II,DPR,19,PBB,3,"CUT AYU MAUIDHAH, S.Sos.I, M.Sos.",P,,,,
2019,ACEH,ACEH II,DPR,19,PBB,4,"H. A. RIDWAN M DALLAH, SE",L,,,,
2019,ACEH,ACEH II,DPR,19,PBB,5,"ISWADI, M.Pd",L,,,,
2019,ACEH,ACEH II,DPR,19,PBB,6,"PIPIH SOPIAH, SE",P,,,,
2019,ACEH,ACEH II,DPR,20,PKPI,1,USWATUN CHASANAH,P,,,,
2019,BALI,BALI,DPR,1,PKB,1,"ANTONIUS IWAN DWI LAKSONO, SE",L,,,,
2019,BALI,BALI,DPR,1,PKB,2,"EKO BUDI CAHYONO, SE., MM",L,,,,
2019,BALI,BALI,DPR,1,PKB,3,"NIKEN SEPTIKASARI, S.Sos",P,,,,
2019,BALI,BALI,DPR,1,PKB,4,"SOESIYANTO, S.Sos",L,,,,
2019,BALI,BALI,DPR,1,PKB,5,"SUGIONO, S.Ag., M.Pd.I",L,,,,
2019,BALI,BALI,DPR,1,PKB,6,SITI ULFAH,P,,,,
2019,BALI,BALI,DPR,1,PKB,7,"J. WAJAN SUDJANA, ST",L,,,,
2019,BALI,BALI,DPR,1,PKB,8,ULFA PRADANI PUTRI IMAMI,P,,,,
2019,BALI,BALI,DPR,1,PKB,9,SYAIFUDDIN,L,,,,
2019,BALI,BALI,DPR,2,Gerindra,1,"IDA BAGUS PUTU SUKARTA, SE., M.Si",L,,,,
2019,BALI,BALI,DPR,2,Gerindra,2,"A.A. NGURAH ALIT WIRAPUTRA, SH., MH",L,,,,
2019,BALI,BALI,DPR,2,Gerindra,3,"SABARIAH, H.D.T",P,,,,
2019,BALI,BALI,DPR,2,Gerindra,4,WAYAN PURWANI,P,,,,
2019,BALI,BALI,DPR,2,Gerindra,5,I WAYAN SUNARTA,L,,,,
2019,BALI,BALI,DPR,2,Gerindra,6,drh. COK ISTRI DEWI SRIJAYANTI,P,,,,
2019,BALI,BALI,DPR,2,Gerindra,7,"I MADE KARI, ST",L,,,,
2019,BALI,BALI,DPR,2,Gerindra,8,I NYOMAN LUKIUS UTOMO,L,,,,
2019,BALI,BALI,DPR,2,Gerindra,9,"GEDE SUGIANYAR, SH",L,,,,
2019,BALI,BALI,DPR,3,PDIP,1,"Drs. I MADE URIP, M.Si",L,,,,
2019,BALI,BALI,DPR,3,PDIP,2,"I G. N. KESUMA KELAKAN, S.T, . M.Si",L,,,,
2019,BALI,BALI,DPR,3,PDIP,3,"Dra. I G. AGUNG PUTRI ASTRID K., M.A.",P,,,,
2019,BALI,BALI,DPR,3,PDIP,4,"I GUSTI AGUNG RAI WIRAJAYA, S.E., M.M.",L,,,,
2019,BALI,BALI,DPR,3,PDIP,5,"I KETUT KARIYASA ADNYANA, S.P.",L,,,,
2019,BALI,BALI,DPR,3,PDIP,6,KOMANG DIAH KARTIKASARI,P,,,,
2019,BALI,BALI,DPR,3,PDIP,7,"I NYOMAN PARTA, S.H.",L,,,,
2019,BALI,BALI,DPR,3,PDIP,8,"LUH PUTU SUWANDEWI AESCHLIMANN, S.Sos, . M.M.",P,,,,
2019,BALI,BALI,DPR,3,PDIP,9,"I WAYAN SUDIRTA, S.H.",L,,,,
2019,BALI,BALI,DPR,4,Golkar,1,"GDE SUMARJAYA LINGGIH, S.E, M.A.P.",L,,,,
2019,BALI,BALI,DPR,4,Golkar,2,A.A. BAGUS ADHI MAHENDRA PUTRA,L,,,,
2019,BALI,BALI,DPR,4,Golkar,3,"I GUSTI AGUNG AYU SRI PUSPA DEWI, S.T",P,,,,
2019,BALI,BALI,DPR,4,Golkar,4,Drs. I KETUT SUDIKERTA,L,,,,
2019,BALI,BALI,DPR,4,Golkar,5,"I WAYAN GEREDEG, S.H., M.A.P",L,,,,
2019,BALI,BALI,DPR,4,Golkar,6,"DIAN FATMAYANTY, S.H",P,,,,
2019,BALI,BALI,DPR,4,Golkar,7,"I MADE WIJAYA, S.Kom",L,,,,
2019,BALI,BALI,DPR,4,Golkar,8,dr. G. AYU AMELINDA HANJANI,P,,,,
2019,BALI,BALI,DPR,4,Golkar,9,"I GEDE ARIAWAN, S.I.P., M.I.P",L,,,,
2019,BALI,BALI,DPR,5,NasDem,1,IDA BAGUS OKA GUNASTAWA,L,,,,
2019,BALI,BALI,DPR,5,NasDem,2,"DR. RUFINUS H. HUTAURUK, S.H., M.M., M.H.",L,,,,
2019,BALI,BALI,DPR,5,NasDem,3,NI LUH PUTU ARY PERTAMI DJELANTIK,P,,,,
2019,BALI,BALI,DPR,5,NasDem,4,"PUTU INDRA LESMANA, ST",L,,,,
2019,BALI,BALI,DPR,5,NasDem,5,DRS. I NYOMAN SUTRISNO,L,,,,
2019,BALI,BALI,DPR,5,NasDem,6,"TJOK ISTRI NGURAH ROOSANY, SE, M.Agb",P,,,,
2019,BALI,BALI,DPR,5,NasDem,7,"Ir. WAYAN SUARJA AGUNG R, M.M",L,,,,
2019,BALI,BALI,DPR,5,NasDem,8,I MADE SURYA ARCANA,L,,,,
2019,BALI,BALI,DPR,5,NasDem,9,"NI WAYAN ANIK SATRIA DEWI, S.T.P",P,,,,
2019,BALI,BALI,DPR,6,Garuda,1,I WAYAN M DANA ADNYANA,L,,,,
2019,BALI,BALI,DPR,6,Garuda,2,"I NYOMAN KANTUN, S.H, M.M, M.H",L,,,,
2019,BALI,BALI,DPR,6,Garuda,3,IDA AYU SURYAWATI,P,,,,
2019,BALI,BALI,DPR,6,Garuda,4,"ANAK AGUNG GDE HARYA PUTRA, S.S",L,,,,
2019,BALI,BALI,DPR,6,Garuda,5,LISMA,P,,,,
2019,BALI,BALI,DPR,7,Berkarya,1,"Drs. DEWA BAGUS MADE SUHARYA, SH",L,,,,
2019,BALI,BALI,DPR,7,Berkarya,2,I WAYAN KUSMINTHA DUSAK,L,,,,
2019,BALI,BALI,DPR,7,Berkarya,3,"NYOMAN PARTINI, SH., MH.",P,,,,
2019,BALI,BALI,DPR,7,Berkarya,4,I WAYAN WETHA,L,,,,
2019,BALI,BALI,DPR,7,Berkarya,5,MADE KARTHA WIRATAMA,L,,,,
2019,BALI,BALI,DPR,7,Berkarya,6,"LINA TRI WIJAYANTI, SE",P,,,,
2019,BALI,BALI,DPR,7,Berkarya,7,"IDA BAGUS PUTU PARTA, SE.",L,,,,
2019,BALI,BALI,DPR,7,Berkarya,8,Ir. H. SULISTIYONO,L,,,,
2019,BALI,BALI,DPR,7,Berkarya,9,NI KETUT TRISNAWATI,P,,,,
2019,BALI,BALI,DPR,8,PKS,1,ARYA SANDHIYUDDHA,L,,,,
2019,BALI,BALI,DPR,8,PKS,2,"HJ. LILI ANITA BALIANI, S.P, M.M",P,,,,
2019,BALI,BALI,DPR,9,Perindo,1,I WAYAN SUKLA ARNATA,L,,,,
2019,BALI,BALI,DPR,9,Perindo,2,"I MADE DANA, SH",L,,,,
2019,BALI,BALI,DPR,9,Perindo,3,SRI WAHYUNI,P,,,,
2019,BALI,BALI,DPR,9,Perindo,4,"Drs. I MADE SUARA, M.Pd",L,,,,
2019,BALI,BALI,DPR,9,Perindo,5,"ADRID INDARYANTO, SH., MM",L,,,,
2019,BALI,BALI,DPR,9,Perindo,6,LUCIANA AYU SUKMAWATI,P,,,,
2019,BALI,BALI,DPR,9,Perindo,7,TOTO SURYAWAN SUKARNO PUTRA,L,,,,
2019,BALI,BALI,DPR,9,Perindo,8,I NYOMAN SUDANA,L,,,,
2019,BALI,BALI,DPR,9,Perindo,9,SELVIANTI JOENOES,P,,,,
2019,BALI,BALI,DPR,10,PPP,1,"LISMAINI, SE",P,,,,
2019,BALI,BALI,DPR,10,PPP,2,"FAISAL AHMAD, SHI",L,,,,
2019,BALI,BALI,DPR,10,PPP,3,ZULKARNAIN,L,,,,
2019,BALI,BALI,DPR,10,PPP,4,"CERIA MONICA, S.I.Kom",P,,,,
2019,BALI,BALI,DPR,10,PPP,5,"MASHUDI, S.Pd.",L,,,,
2019,BALI,BALI,DPR,10,PPP,6,MUSDALIFAH,P,,,,
2019,BALI,BALI,DPR,10,PPP,7,DAMAYANTI HERMAWAN,P,,,,
2019,BALI,BALI,DPR,10,PPP,8,ISNAWATY,P,,,,
2019,BALI,BALI,DPR,10,PPP,9,R. MIRA OKTARIA,P,,,,
2019,BALI,BALI,DPR,11,PSI,1,"I NENGAH YASA ADI SUSANTO, S.H., M.H",L,,,,
2019,BALI,BALI,DPR,11,PSI,2,"DEDY NUR, ST",L,,,,
2019,BALI,BALI,DPR,11,PSI,3,"DIAH KURNIAWATI, S.Miss",P,,,,
2019,BALI,BALI,DPR,11,PSI,4,"I MADE CAKRA IRAWAN, S.T.",L,,,,
2019,BALI,BALI,DPR,11,PSI,5,"IDA AYU RATIH KUMALASARI, AMA.Par",P,,,,
2019,BALI,BALI,DPR,11,PSI,6,HENI INDRIATI,P,,,,
2019,BALI,BALI,DPR,11,PSI,7,I KETUT DARMADI,L,,,,
2019,BALI,BALI,DPR,11,PSI,8,"DEWA PUTU SANTIKA, S.Sos, M.Si",L,,,,
2019,BALI,BALI,DPR,11,PSI,9,"I WAYAN SUARNA, S.Sos",L,,,,
2019,BALI,BALI,DPR,12,PAN,1,KHAIRUL FAHMI,L,,,,
2019,BALI,BALI,DPR,12,PAN,2,MUHAMMAD ZAINI,L,,,,
2019,BALI,BALI,DPR,12,PAN,3,KHUSNAINI SAFITRI,P,,,,
2019,BALI,BALI,DPR,12,PAN,4,IWAN SATRIAWAN,L,,,,
